sample,site,lat,long,pik,RR1,RR2,RR3,RR4,pop,S,group,species,Idnotes,micro_,
NSW1008890,Heathcote_National_Park_2015-10-15,-34.18438,150.97983,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
NSW1008885,Heathcote_National_Park_2015-10-15,-34.18463,150.97961,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
NSW1008870,Heathcote_National_Park_2015-10-15,-34.18506,150.97903,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
NSW1008839,Heathcote_National_Park_2015-10-15,-34.16956,150.99657,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
NSW1008889,Heathcote_National_Park_2015-10-15,-34.1694,150.99336,No_data,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,Heathcote_National_Park_2015-10-15,,,Helensburgh,Sydney_Coast,helianthi,,,
NSW1013696,S324_2016-11-10,-33.794615,150.403657,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10,,,Kings_Tableland,Central_West,helianthi,,,
NSW1014815,S324_2016-11-10,-33.794653,150.403853,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10,,,Kings_Tableland,Central_West,helianthi,,,
NSW1013935,S324_2016-11-10,-33.794634,150.404106,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10,,,Kings_Tableland,Central_West,helianthi,,,
NSW1014805,S324_2016-11-10,-33.794656,150.404349,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10,,,Kings_Tableland,Central_West,helianthi,,,
NSW1013922,S324_2016-11-10,-33.794601,150.40416,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10,,,Kings_Tableland,Central_West,helianthi,,,
NSW1014820,S324_2016-11-10,-33.794696,150.403435,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10,,,Kings_Tableland,Central_West,helianthi,,,
NSW1010514,S244_2016-05-11,-34.037928,151.215155,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11,,,Kurnell,Sydney_Coast,helianthi,,,
NSW1010487,S244_2016-05-11,-34.037474,151.215096,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11,,,Kurnell,Sydney_Coast,helianthi,,,
NSW1010519,S244_2016-05-11,-34.037486,151.215556,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11,,,Kurnell,Sydney_Coast,helianthi,,,
NSW1010529,S244_2016-05-11,-34.037702,151.215678,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11,,,Kurnell,Sydney_Coast,helianthi,,,
NSW1010509,S244_2016-05-11,-34.037928,151.215155,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11,,,Kurnell,Sydney_Coast,helianthi,,,
NSW1010524,S244_2016-05-11,-34.037469,151.215838,popnInfo000259,S244_2016-05-11,S244_2016-05-11,S244_2016-05-11,,,Kurnell,Sydney_Coast,helianthi,,,
NSW1006987,S43_2015-10-16,-33.791517,151.145788,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16,,,Lane_Cove,Sydney_Coast,helianthi,,,
NSW1006920,S43_2015-10-16,-33.791791,151.145795,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16,,,Lane_Cove,Sydney_Coast,helianthi,,,
NSW1006983,S43_2015-10-16,-33.791266,151.145707,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16,,,Lane_Cove,Sydney_Coast,helianthi,,,
NSW1006912,S43_2015-10-16,-33.792562,151.145572,popnInfo000602,S43_2015-10-16,S43_2015-10-16,S43_2015-10-16,,,Lane_Cove,Sydney_Coast,helianthi,,,
