sample,site,lat,long,pik,RR1,RR2,RR3
NSW1020483,S51_2016-12-16,-33.271135,150.591141,popnInfo1919,S51_2016-12-16,S51_2016-12-16,S51_2016-12-16
NSW933132,S34_2015-09-17,-33.407465,150.942465,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17
NSW1017187,S50_2016-08-18,-33.681992,151.152103,popnInfo000494,S50_2016-08-18,S50_2016-08-18,S50_2016-08-18
NSW1021117,S249_2017-04-13,-33.401743,151.477528,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13
NSW1014820,S324_2016-11-10,-33.794696,150.403435,popnInfo001089,S324_2016-11-10,S324_2016-11-10,S324_2016-11-10
NSW1021141,S249_2017-04-13,-33.400897,151.477311,popnInfo000926,S249_2017-04-13,S249_2017-04-13,S249_2017-04-13
NSW932965,S34_2015-09-17,-33.407537,150.942683,popnInfo000624,S34_2015-09-17,S34_2015-09-17,S34_2015-09-17
NSW1011097,S30_2016-03-18,-33.667009,150.543191,popnInfo001361,S30_2016-03-18,S30_2016-03-18,S30_2016-03-18
NSW1015927,S232_2016-10-13,-33.542629,150.345878,popnInfo001128,S232_2016-10-13,S232_2016-10-13,S232_2016-10-13
NSW1018154,S441_2017-05-27,-29.177547,153.390576,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27
NSW1018216,S441_2017-05-27,-29.177452,153.390739,popnInfo1519,S441_2017-05-27,S441_2017-05-27,S441_2017-05-27
NSW1009823,S82_2016-04-12,-32.642807,152.188751,popnInfo000691,S82_2016-04-12,S82_2016-04-12,S82_2016-04-12
NSW1006820,S46_2015-11-11,-34.325541,150.475165,popnInfo000593,S46_2015-11-11,S46_2015-11-11,S46_2015-11-11
NSW1010957,S37_2016-04-13,-33.595593,150.337802,popnInfo000380,S37_2016-04-13,S37_2016-04-13,S37_2016-04-13
NSW1021690,S321_2017-05-10,-30.541162,149.668222,popnInfo1434,S321_2017-05-10,S321_2017-05-10,S321_2017-05-10
NSW933202,S13_2016-07-23,-33.784882,150.612281,No_data,S13_2016-07-23,,
NSW1028250,S2337_2018-08-02,-35.370279,150.474024,popnInfo003462,S2337_2018-08-02,S2337_2018-08-02,S2337_2018-08-02
NSW1035050,North_1987-10-29,-29.62,150.6,No_data,North_1987-10-29,,
NSW1035534,Bigge_Range_1987-10-31,-24.8872222,149.4722222,No_data,Bigge_Range_1987-10-31,,
